title,price_gbp,rating,price_eur
A Light in the Attic,51.77,Three,
Tipping the Velvet,53.74,One,
Soumission,50.1,One,
Sharp Objects,47.82,Four,
Sapiens: A Brief History of Humankind,54.23,Five,
The Requiem Red,22.65,One,
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,
The Black Maria,52.15,One,
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,
Shakespeare's Sonnets,20.66,Four,
Set Me Free,17.46,Five,
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,
Rip it Up and Start Again,35.02,Five,
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,
Olio,23.88,One,
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,
Libertarianism for Beginners,51.33,Two,
It's Only the Himalayas,45.17,Two,
In Her Wake,12.84,One,
How Music Works,37.32,Two,
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,
Chase Me (Paris Nights #2),25.27,Five,
Black Dust,34.53,Five,
Birdsong: A Story in Pictures,54.64,Three,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,
Aladdin and His Wonderful Lamp,53.13,Three,
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Five,
Wall and Piece,44.18,Four,
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,
The Elephant Tree,23.82,Five,
The Bear and the Piano,36.89,One,
Sophie's World,15.94,Five,
Penny Maybe,33.29,Three,
Maude (1883-1993):She Grew Up with the country,18.02,Two,
"In a Dark, Dark Wood",19.63,One,
Behind Closed Doors,52.22,Four,
You can't bury them all: Poems,33.63,Two,
Slow States of Collapse: Poems,57.31,Three,
Reasons to Stay Alive,26.41,Two,
Private Paris (Private #10),47.61,Five,
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,
Without Borders (Wanderlove #1),45.07,Two,
When We Collided,31.77,One,
"We Love You, Charlie Freeman",50.27,Five,
Untitled Collection: Sabbath Poems 2014,14.27,Four,
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,
Unicorn Tracks,18.78,Three,
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,
This One Summer,19.49,Four,
Thirst,17.27,Five,
The Torch Is Passed: A Harding Family Story,19.09,One,
The Secret of Dreadwillow Carse,56.13,One,
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,
The Past Never Ends,56.5,Four,
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,
The Nameless City (The Nameless City #1),38.16,Four,
The Murder That Never Was (Forensic Instincts #5),54.11,Three,
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,
The Death of Humanity: and the Case for Life,58.11,Four,
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,
The Art Forger,40.76,Three,
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,
Soul Reader,39.58,Two,
Security,39.25,Two,
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,
"Pop Gun War, Volume 1: Gift",18.97,One,
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,
Patience,10.16,Three,
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,
On a Midnight Clear,14.07,Three,
Obsidian (Lux #1),14.86,Two,
My Paris Kitchen: Recipes and Stories,33.37,Two,
Masks and Shadows,56.4,Two,
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,
Join,35.67,Five,
In the Country We Love: My Family Divided,22.0,Four,
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five,
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,
I am a Hero Omnibus Volume 1,54.63,Three,
How to Be Miserable: 40 Strategies You Already Use,46.03,One,
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,
First and First (Five Boroughs #3),15.97,Four,
Fifty Shades Darker (Fifty Shades #2),21.96,One,
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two,
Danganronpa Volume 1,51.99,Four,
Crown of Midnight (Throne of Glass #2),43.29,Three,
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,
Camp Midnight,17.08,Four,
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,
Burning,28.81,Three,
Bossypants,49.46,Two,
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,
A World of Flavor: Your Gluten Free Passport,42.95,One,
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five,
A Murder in Time,16.64,One,
A Flight of Arrows (The Pathfinders #2),55.53,Five,
A Fierce and Subtle Poison,28.13,Four,
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Five,
You Are What You Love: The Spiritual Power of Habit,21.87,Four,
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Four,
Tuesday Nights in 1980,21.04,Two,
Tracing Numbers on a Train,41.6,Three,
Throne of Glass (Throne of Glass #1),35.07,Three,
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One,
Thirteen Reasons Why,52.72,One,
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Four,
The Wedding Dress,24.12,One,
The Vacationers,42.15,Four,
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Five,
The Stranger,17.44,Four,
The Shadow Hero (The Shadow Hero),33.14,One,
The Secret (The Secret #1),27.37,Four,
The Regional Office Is Under Attack!,51.36,Five,
The Psychopath Test: A Journey Through the Madness Industry,36.0,Two,
The Project,10.65,One,
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two,
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two,
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five,
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,
The Mistake (Off-Campus #2),43.29,Three,
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One,
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Two,
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One,
The Kite Runner,41.82,Four,
The House by the Lake,36.95,One,
The Glittering Court (The Glittering Court #1),44.28,One,
The Girl on the Train,55.02,Two,
The Genius of Birds,17.24,One,
The Emerald Mystery,23.15,Two,
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One,
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,Three,
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five,
The Art of War,33.34,Five,
The Argonauts,10.93,Two,
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three,
Suddenly in Love (Lake Haven #1),55.99,Two,
Something More Than This,16.24,Four,
Soft Apocalypse,26.12,Two,
So You've Been Publicly Shamed,12.23,Two,
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two,
"Shobu Samurai, Project Aryoku (#3)",29.06,Three,
Secrets and Lace (Fatal Hearts #1),20.27,One,
Scarlett Epstein Hates It Here,43.55,Five,
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One,
Redeeming Love,20.47,Five,
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One,
Poems That Make Grown Women Cry,14.19,Four,
"Nightingale, Sing",38.28,One,
Night Sky with Exit Wounds,41.05,One,
Mrs. Houdini,30.25,Five,
Modern Romance,28.26,Five,
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,One,
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two,
Little Red,13.47,Three,
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,Five,
Large Print Heart of the Pride,19.15,Two,
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,One,
Grumbles,22.16,Two,
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,
Frostbite (Vampire Academy #2),29.99,Five,
Follow You Home,21.36,One,
First Steps for New Christians (Print Edition),29.0,One,
Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four,
Eureka Trivia 6.0,54.59,Four,
Drive: The Surprising Truth About What Motivates Us,34.95,Four,
Done Rubbed Out (Reightman & Bailey #1),37.72,Five,
Doing It Over (Most Likely To #1),35.61,Three,
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three,
